year,pop,lifeExp,gdpPercap,continent,country
1957,7651254.0,66.61,3008.670727,Europe,Bulgaria
1962,8012946.0,69.51,4254.337839,Europe,Bulgaria
1967,8310226.0,70.42,5577.0028,Europe,Bulgaria
1972,8576200.0,70.9,6597.494398,Europe,Bulgaria
1977,8797022.0,70.81,7612.240438,Europe,Bulgaria
1982,8892098.0,71.08,8224.191647,Europe,Bulgaria
1987,8971958.0,71.34,8239.854824,Europe,Bulgaria
1992,8658506.0,71.19,6302.6234380000005,Europe,Bulgaria
1997,8066057.0,70.32,5970.38876,Europe,Bulgaria
2002,7661799.0,72.14,7696.777725,Europe,Bulgaria
2007,7322858.0,73.005,10680.79282,Europe,Bulgaria
1952,4469979.0,31.975,543.2552413,Africa,Burkina Faso
1957,4713416.0,34.906,617.1834647999999,Africa,Burkina Faso
1962,4919632.0,37.814,722.5120206,Africa,Burkina Faso
1967,5127935.0,40.696999999999996,794.8265597,Africa,Burkina Faso
1972,5433886.0,43.591,854.7359763000001,Africa,Burkina Faso
1977,5889574.0,46.137,743.3870368,Africa,Burkina Faso
1982,6634596.0,48.122,807.1985855,Africa,Burkina Faso
1987,7586551.0,49.556999999999995,912.0631417000001,Africa,Burkina Faso
1992,8878303.0,50.26,931.7527731,Africa,Burkina Faso
1997,10352843.0,50.324,946.2949617999999,Africa,Burkina Faso
2002,12251209.0,50.65,1037.645221,Africa,Burkina Faso
2007,14326203.0,52.295,1217.032994,Africa,Burkina Faso
1952,2445618.0,39.031,339.29645869999996,Africa,Burundi
1957,2667518.0,40.533,379.56462810000005,Africa,Burundi
1962,2961915.0,42.045,355.2032273,Africa,Burundi
1967,3330989.0,43.548,412.97751360000007,Africa,Burundi
1972,3529983.0,44.056999999999995,464.0995039,Africa,Burundi
1977,3834415.0,45.91,556.1032651,Africa,Burundi
1982,4580410.0,47.471000000000004,559.6032309999999,Africa,Burundi
1987,5126023.0,48.211000000000006,621.8188188999999,Africa,Burundi
1992,5809236.0,44.736000000000004,631.6998778,Africa,Burundi
1997,6121610.0,45.326,463.1151478,Africa,Burundi
2002,7021078.0,47.36,446.4035126,Africa,Burundi
2007,8390505.0,49.58,430.07069160000003,Africa,Burundi
1952,4693836.0,39.417,368.46928560000003,Asia,Cambodia
1957,5322536.0,41.36600000000001,434.0383364,Asia,Cambodia
1962,6083619.0,43.415,496.9136476,Asia,Cambodia
1967,6960067.0,45.415,523.4323142,Asia,Cambodia
1972,7450606.0,40.317,421.6240257,Asia,Cambodia
1977,6978607.0,31.22,524.9721831999999,Asia,Cambodia
1982,7272485.0,50.957,624.4754784,Asia,Cambodia
1987,8371791.0,53.913999999999994,683.8955732000001,Asia,Cambodia
1992,10150094.0,55.803000000000004,682.3031755,Asia,Cambodia
1997,11782962.0,56.534,734.28517,Asia,Cambodia
2002,12926707.0,56.751999999999995,896.2260152999999,Asia,Cambodia
2007,14131858.0,59.723,1713.7786859999999,Asia,Cambodia
1952,5009067.0,38.523,1172.667655,Africa,Cameroon
1957,5359923.0,40.428000000000004,1313.048099,Africa,Cameroon
1962,5793633.0,42.643,1399.607441,Africa,Cameroon
1967,6335506.0,44.799,1508.453148,Africa,Cameroon
1972,7021028.0,47.049,1684.1465280000002,Africa,Cameroon
1977,7959865.0,49.355,1783.432873,Africa,Cameroon
1982,9250831.0,52.961000000000006,2367.983282,Africa,Cameroon
1987,10780667.0,54.985,2602.664206,Africa,Cameroon
1992,12467171.0,54.31399999999999,1793.1632780000002,Africa,Cameroon
1997,14195809.0,52.199,1694.337469,Africa,Cameroon
2002,15929988.0,49.856,1934.0114489999999,Africa,Cameroon
2007,17696293.0,50.43,2042.0952399999999,Africa,Cameroon
1952,14785584.0,68.75,11367.16112,,Canada
1957,17010154.0,69.96,12489.95006,,Canada
1962,18985849.0,71.3,13462.48555,,Canada
1967,20819767.0,72.13,16076.58803,,Canada
1972,22284500.0,72.88,18970.57086,,Canada
1977,23796400.0,74.21,22090.88306,,Canada
1982,25201900.0,75.76,22898.79214,,Canada
1987,26549700.0,76.86,26626.515030000002,,Canada
1992,28523502.0,77.95,26342.88426,,Canada
1997,30305843.0,78.61,28954.92589,,Canada
2002,31902268.0,79.77,33328.96507,,Canada
2007,33390141.0,80.653,36319.235010000004,,Canada
1952,1291695.0,35.463,1071.310713,Africa,Central African Republic
1957,1392284.0,37.464,1190.844328,Africa,Central African Republic
1962,1523478.0,39.475,1193.068753,Africa,Central African Republic
1967,1733638.0,41.478,1136.056615,Africa,Central African Republic
1972,1927260.0,43.457,1070.013275,Africa,Central African Republic
1977,2167533.0,46.775,1109.374338,Africa,Central african republic
1982,2476971.0,48.295,956.7529906999999,Africa,Central african republic
1987,2840009.0,50.485,844.8763504000001,Africa,Central african republic
1992,3265124.0,49.396,747.9055252,Africa,Central african republic
1997,3696513.0,46.066,740.5063317,Africa,Central African Republic
2002,4048013.0,43.308,738.6906068,Africa,Central African Republic
2007,4369038.0,44.74100000000001,706.016537,Africa,Central African Republic
1952,2682462.0,38.092,1178.665927,Africa,Chad
1957,2894855.0,39.881,1308.495577,Africa,Chad
1962,3150417.0,41.716,1389.817618,Africa,Chad
1967,3495967.0,43.601000000000006,1196.810565,Africa,Chad
1972,3899068.0,45.568999999999996,1104.103987,Africa,Chad
1977,4388260.0,47.383,1133.98495,Africa,Chad
1982,4875118.0,49.516999999999996,797.9081006,Africa,Chad
1987,5498955.0,51.051,952.3861289999999,Africa,Chad
1992,6429417.0,51.724,1058.0643,Africa,Chad
1997,7562011.0,51.573,1004.9613529999999,Africa,Chad
2002,8835739.0,50.525,1156.18186,Africa,Chad
2007,10238807.0,50.651,1704.0637239999999,Africa,Chad
1952,6377619.0,54.745,3939.9787890000002,Americas,Chile
1957,7048426.0,56.074,4315.6227229999995,Americas,Chile
1962,7961258.0,57.924,4519.094331,Americas,Chile
1967,8858908.0,60.523,5106.654313,Americas,Chile
1972,9717524.0,63.441,5494.024437,Americas,Chile
1977,10599793.0,67.05199999999999,4756.763836,Americas,Chile
1982,11487112.0,70.565,5095.665738000001,Americas,Chile
1987,12463354.0,72.492,5547.063754,Americas,Chile
1992,13572994.0,74.126,7596.125964,Americas,Chile
1997,14599929.0,75.816,10118.053179999999,Americas,Chile
2002,15497046.0,77.86,10778.78385,Americas,Chile
2007,16284741.0,78.553,13171.63885,Americas,Chile
1952,556263527.9999889,44.0,400.448610699994,Asia,China
1957,637408000.0,50.54896,575.9870009,Asia,China
1962,665770000.0,44.50136,487.6740183,Asia,China
1967,754550000.0,58.381119999999996,612.7056934,Asia,China
1972,862030000.0,63.118880000000004,676.9000921,Asia,China
1977,943455000.0,63.96736,741.2374699,Asia,china
1982,1000281000.0,65.525,962.4213804999999,Asia,china
1987,1084035000.0,67.274,1378.904018,Asia,china
1992,1164970000.0,68.69,1655.784158,Asia,china
1997,1230075000.0,70.426,2289.234136,Asia,China
2002,1280400000.0,72.028,3119.280896,Asia,China
2007,1318683096.0,72.961,4959.1148539999995,Asia,China
1952,12350771.0,50.643,2144.115096,Americas,Colombia
1957,14485993.0,55.118,2323.805581,Americas,Colombia
1962,17009885.0,57.863,2492.351109,Americas,Colombia    
1967,19764027.0,59.963,2678.729839,Americas,Colombia    
1972,22542890.0,61.623000000000005,3264.660041,Americas,Colombia
1977,25094412.0,63.836999999999996,3815.80787,Americas,Colombia
1982,27764644.0,66.653,4397.575659,Americas,Colombia
1987,30964245.0,67.768,4903.2191,Americas,Colombia
1992,34202721.0,68.421,5444.648617,Americas,Colombia
1997,37657830.0,70.313,6117.3617460000005,Americas,Colombia
2002,41008227.0,71.682,5755.259962,Americas,Colombia
2007,44227550.0,72.889,7006.580419,Americas,Colombia
1952,153936.0,40.715,1102.990936,Africa,Comoros
1957,170928.0,42.46,1211.1485480000001,Africa,Comoros
1962,191689.0,44.467,1406.648278,Africa,Comoros
1967,217378.0,46.472,1876.029643,Africa,Comoros
1972,250027.0,48.943999999999996,1937.577675,Africa,Comoros
1977,304739.0,50.93899999999999,1172.603047,Africa,Comoros
1982,348643.0,52.933,1267.100083,Africa,Comoros
1987,395114.0,54.926,1315.980812,Africa,Comoros
1992,454429.0,57.93899999999999,1246.90737,Africa,Comoros
1997,527982.0,60.66,1173.618235,Africa,Comoros
2002,614382.0,62.974,1075.811558,Africa,Comoros
2007,710960.0,65.152,986.1478792000001,Africa,Comoros
1952,14100005.0,39.143,780.5423257,Africa,"Congo, Dem. Rep."
1957,15577932.0,40.652,905.8602302999999,Africa,"Congo, Dem. Rep."
1962,17486434.0,42.122,896.3146335000001,Africa,"Congo, Dem. Rep."
1967,19941073.0,44.056000000000004,861.5932424,Africa,"Congo, Dem. Rep."
1972,23007669.0,45.989,904.8960685000001,Africa,Democratic Republic of the Congo
1977,26480870.0,47.803999999999995,795.757282,Africa,"Congo, Dem. Rep."
1982,30646495.0,47.784,673.7478181,Africa,"Congo, Dem. Rep."
1987,35481645.0,47.412,672.774812,Africa,"Congo, Dem. Rep."
1992,41672143.0,45.548,457.7191807,Africa,"Congo, Dem. Rep."
1997,47798986.0,42.586999999999996,312.188423,Africa,"Congo, Democratic Republic"
2002,55379852.0,44.966,241.16587650000002,Africa,"Congo, Dem. Rep."
2007,64606759.0,46.461999999999996,277.55185869999997,Africa,"Congo, Dem. Rep."
1952,854885.0,42.111000000000004,2125.621418,Africa,"Congo, Rep."
1957,940458.0,45.053000000000004,2315.056572,Africa,"Congo, Rep."
1962,1047924.0,48.435,2464.783157,Africa,"Congo, Rep."
1967,1179760.0,52.04,2677.9396420000003,Africa,"Congo, Rep."
1972,1340458.0,54.907,3213.152683,Africa,"Congo, Rep."
1977,1536769.0,55.625,3259.178978,Africa,"Congo, Rep."
1982,1774735.0,56.695,4879.507522,Africa,"Congo, Rep."
1987,2064095.0,57.47,4201.194936999999,Africa,"Congo, Rep."
1992,2409073.0,56.433,4016.239529,Africa,"Congo, Rep."
1997,2800947.0,52.961999999999996,3484.1643759999997,Africa,"Congo, Rep."
2002,3328795.0,52.97,3484.06197,Africa,"Congo, Rep."
2007,3800610.0,55.321999999999996,3632.557798,Africa,"Congo, Rep."
1952,926317.0,57.206,2627.0094710000003,Americas,Costa Rica
1957,1112300.0,60.026,2990.010802,Americas,Costa Rica
1962,1345187.0,62.842,3460.937025,Americas,Costa Rica
1967,1588717.0,65.42399999999999,4161.727834,Americas,Costa Rica
1972,1834796.0,67.84899999999999,5118.146939,Americas,Costa Rica
1977,2108457.0,70.75,5926.876967,Americas,Costa Rica
1982,2424367.0,73.45,5262.734751,Americas,Costa Rica
1987,2799811.0,74.752,5629.915318,Americas,Costa Rica
1992,3173216.0,75.71300000000001,6160.416317,Americas,Costa Rica
1997,3518107.0,77.26,6677.045314,Americas,Costa Rica
2002,3834934.0,78.123,7723.447195000001,Americas,Costa Rica
2007,4133884.0,78.782,9645.06142,Americas,Costa Rica
1952,2977019.0,40.477,1388.594732,Africa,Cote d'Ivoire
1957,3300000.0,42.468999999999994,1500.895925,Africa,Cote d'Ivoire
1962,3832408.0,44.93,1728.8694280000002,Africa,Cote d'Ivoire
1967,4744870.0,47.35,2052.0504730000002,Africa,Cote d'Ivoire
1972,6071696.0,49.801,2378.201111,Africa,Cote d'Ivoire
1977,7459574.0,52.373999999999995,2517.736547,Africa,Cote d'Ivoire
1982,9025951.0,53.983000000000004,2602.710169,Africa,Cote d'Ivoire
1987,10761098.0,54.655,2156.9560690000003,Africa,Cote d'Ivoire
1992,12772596.0,52.044,1648.073791,Africa,Cote d'Ivoire
1997,14625967.0,47.99100000000001,1786.265407,Africa,Cote d'Ivore
2002,16252726.0,46.832,1648.800823,Africa,Cote d'Ivoire
2007,18013409.0,48.328,1544.750112,Africa,Cote d'Ivoire
1952,3882229.0,61.21,3119.23652,Europe,Croatia
1957,3991242.0,64.77,4338.231617,Europe,Croatia
1962,4076557.0,67.13,5477.890018,Europe,Croatia
1967,4174366.0,68.5,6960.297861,Europe,Croatia
1972,4225310.0,69.61,9164.090127,Europe,Croatia
1977,4318673.0,70.64,11305.38517,Europe,Croatia
1982,4413368.0,70.46,13221.82184,Europe,Croatia
1987,4484310.0,71.52,13822.58394,Europe,Croatia
1992,4494013.0,72.527,8447.794873,Europe,Croatia
1997,4444595.0,73.68,9875.604515,Europe,Croatia
2002,4481020.0,74.876,11628.38895,Europe,Croatia
2007,4493312.0,75.748,14619.222719999998,Europe,Croatia
1952,6007797.0,59.42100000000001,5586.53878,Americas,Cuba
1957,6640752.0,62.325,6092.174359000001,Americas,Cuba
1962,7254373.0,65.24600000000001,5180.75591,Americas,Cuba
1967,8139332.0,68.29,5690.268015,Americas,Cuba
1972,8831348.0,70.723,5305.445256,Americas,Cuba
1977,9537988.0,72.649,6380.494965999999,Americas,Cuba
1982,9789224.0,73.717,7316.9181069999995,Americas,Cuba
1987,10239839.0,74.17399999999999,7532.924762999999,Americas,Cuba
1992,10723260.0,74.414,5592.843963,Americas,Cuba
1997,10983007.0,76.15100000000001,5431.990415,Americas,Cuba
2002,11226999.0,77.158,6340.646683,Americas,Cuba
2007,11416987.0,78.273,8948.102923,Americas,Cuba
1952,9125183.0,66.87,6876.14025,Europe,Czech Republic
1957,9513758.0,69.03,8256.343918,Europe,Czech Republic
1962,9620282.0,69.9,10136.86713,Europe,Czech Republic
1967,9835109.0,70.38,11399.44489,Europe,Czech Republic
1972,9862158.0,70.29,13108.4536,Europe,Czech Republic
1977,10161915.0,70.71,14800.160619999999,Europe,Czech Republic
1982,10303704.0,70.96,15377.22855,Europe,Czech Republic
1987,10311597.0,71.58,16310.4434,Europe,Czech Republic
1992,10315702.0,72.4,14297.021219999999,Europe,Czech Republic
1997,10300707.0,74.01,16048.51424,Europe,Czech Republic
2002,10256295.0,75.51,17596.210219999997,Europe,Czech Republic
2007,10228744.0,76.486,22833.30851,Europe,Czech Republic
1952,4334000.0,70.78,9692.385245,Europe,Denmark
1957,4487831.0,71.81,11099.65935,Europe,Denmark
1962,4646899.0,72.35,13583.31351,Europe,Denmark
1967,4838800.0,72.96,15937.21123,Europe,Denmark
1972,4991596.0,73.47,18866.20721,Europe,Denmark
1977,5088419.0,74.69,20422.9015,Europe,Denmark
1982,5117810.0,74.63,21688.04048,Europe,Denmark
1987,5127024.0,74.8,25116.17581,Europe,Denmark
1992,5171393.0,75.33,26406.73985,Europe,Denmark
1997,5283663.0,76.11,29804.34567,Europe,Denmark
2002,5374693.0,77.18,32166.500060000002,Europe,Denmark
2007,5468120.0,78.332,35278.41874,Europe,Denmark
1952,63149.0,34.812,2669.529475,Africa,Djibouti
1957,71851.0,37.328,2864.9690760000003,Africa,Djibouti
1962,89898.0,39.693000000000005,3020.989263,Africa,Djibouti
1967,127617.0,42.074,3020.0505129999997,Africa,Djibouti
1972,178848.0,44.36600000000001,3694.2123520000005,Africa,Djibouti
1977,228694.0,46.519,3081.7610219999997,Africa,Djibouti
1982,305991.0,48.812,2879.4680670000002,Africa,Djibouti
1987,311025.0,50.04,2880.102568,Africa,Djibouti
1992,384156.0,51.604,2377.1561920000004,Africa,Djibouti
1997,417908.0,53.157,1895.016984,Africa,Djibouti
2002,447416.0,53.373000000000005,1908.2608670000002,Africa,Djibouti
2007,496374.0,54.791000000000004,2082.4815670000003,Africa,Djibouti
1952,2491346.0,45.928000000000004,1397.7171369999999,Americas,Dominican Republic
1957,2923186.0,49.828,1544.402995,Americas,Dominican Republic
1962,3453434.0,53.458999999999996,1662.137359,Americas,Dominican Republic
1967,4049146.0,56.751000000000005,1653.7230029999998,Americas,Dominican Republic
1972,4671329.0,59.631,2189.874499,Americas,Dominican Republic
1977,5302800.0,61.788000000000004,2681.9889,Americas,Dominican Republic
1982,5968349.0,63.727,2861.092386,Americas,Dominican Republic
1987,6655297.0,66.046,2899.842175,Americas,Dominican Republic
1992,7351181.0,68.457,3044.214214,Americas,Dominican Republic
1997,7992357.0,69.957,3614.101285,Americas,Dominican Republic
2002,8650322.0,70.847,4563.808154,Americas,Dominican Republic
2007,9319622.0,72.235,6025.374752000001,Americas,Dominican Republic
1952,3548753.0,48.357,3522.110717,Americas,Ecuador
1957,4058385.0,51.356,3780.5466509999997,Americas,Ecuador
1962,4681707.0,54.64,4086.114078,Americas,Ecuador
1967,5432424.0,56.678000000000004,4579.074215,Americas,Ecuador
1972,6298651.0,58.79600000000001,5280.99471,Americas,Ecuador
1977,7278866.0,61.31,6679.62326,Americas,Ecuador
1982,8365850.0,64.342,7213.7912670000005,Americas,Ecuador
1987,9545158.0,67.23100000000001,6481.776993,Americas,Ecuador
1992,10748394.0,69.613,7103.702595000001,Americas,Ecuador
1997,11911819.0,72.312,7429.455876999999,Americas,Ecuador
2002,12921234.0,74.173,5773.0445119999995,Americas,Ecuador
2007,13755680.0,74.994,6873.262326000001,Americas,Ecuador
1952,22223309.0,41.893,1418.822445,Africa,Egypt
1957,25009741.0,44.443999999999996,1458.915272,Africa,Egypt
1962,28173309.0,46.992,1693.335853,Africa,Egypt
