Year,Classification,Union,Minimum hourly rate,Maximum hourly rate,Women,Men,Total
2019,IT IVa,TRUE,41.29,57.7,13,39,52
2019,IT VIa,TRUE,50.85,57.7,4,15,19
2019,Operational Support IIa,TRUE,26.36,30.98,14,107,121
2019,Operational Support IV,TRUE,27.45,34.98,7,37,44
2019,Operational Support Va,TRUE,33.6,39.56,4,27,31
2019,Operational Support VIa,TRUE,36.45,46.75,44,37,81
2019,Operational Support VII,TRUE,37.97,44.83,24,68,92
2019,Operational Support VIIIa,TRUE,46.75,50.85,1,7,8
2019,Operational Support X,TRUE,48.78,55.35,1,3,4
2019,Policy Management I,TRUE,44.83,50.85,4,3,7
2019,Policy Management IIa,TRUE,48.78,65.47,76,54,130
2019,Program Delivery IIa,TRUE,28.55,33.6,11,2,13
2019,Program Support I,TRUE,20.84,23.44,46,50,96
2019,Regulatory I,TRUE,32.25,32.25,1,4,5
2019,Regulatory II,TRUE,29.74,34.98,9,9,18
2019,Regulatory IVa,TRUE,43.04,44.83,1,1,2
2019,Regulatory Va,TRUE,46.75,46.75,1,,1
2019,Regulatory VI,TRUE,44.83,48.78,2,48,50
2019,Technical Assistant II,TRUE,41.29,41.29,,1,1
2019,Fire Prevention Lieutenant,TRUE,62.45,62.45,1,2,3
2019,Theatre Casual I,TRUE,28.64,32.87,4,17,21
2019,Theatre Casual IV,TRUE,35.37,37.33,5,29,34
2019,Theatre Technician I,TRUE,40.35,40.35,,5,5
2019,Engineering Operations Branch Helper,TRUE,34.8,34.8,,2,2
2019,Trades Supervisor II,TRUE,48.08,48.08,,10,10
2019,Administrative Assistant 3,FALSE,27.72,34.89,24,,24
2019,Administrative Manager 2,FALSE,41.19,61.7,14,9,23
2019,Executive Assistant 1,FALSE,35.07,49.22,11,3,14
2019,Legal 3,FALSE,78.95,96.72,14,18,32
2019,Manager 2,FALSE,56.78,76.59,35,41,76
2019,Operations Manager,FALSE,50.01,50.57,,2,2
2019,Operations Manager 3,FALSE,67.03,76.59,1,2,3
2019,Senior Manager 1,FALSE,65.04,95.49,26,47,73
2019,Aquatic I,TRUE,29.04,29.04,55,78,133
2019,Equipment Operator II,TRUE,30.47,30.47,2,23,25
2019,Equipment Operator III,TRUE,31.25,31.25,,1,1
2019,Equipment Operator IVa,TRUE,32.4,37.23,,21,21
2019,Equipment Operator V,TRUE,34.68,34.68,,7,7
2019,Trades Ib,TRUE,35.75,35.75,,13,13
2019,Trades IIIb,TRUE,40.44,40.44,4,8,12
2019,Truck Driver IV,TRUE,31.76,32.4,,17,17
2019,Worker III,TRUE,28.67,29.04,5,61,66
2019,Worker IV,TRUE,29.52,29.52,5,39,44
2019,Worker V,TRUE,30.01,30.01,3,28,31
2019,WORKER VI,TRUE,33.89,33.89,,1,1
2019,Working Supervisor IX,TRUE,41.22,41.22,,2,2
2019,WORKING SUPERVISOR Vb,TRUE,37.23,37.23,,4,4
2019,Working Supervisor VIII,TRUE,39.16,39.16,,11,11
2019,Admin Management I,TRUE,33.6,37.97,1,5,6
2019,Admin Management Ia,TRUE,33.6,39.56,14,2,16
2019,Admin Management IIa,TRUE,34.98,43.04,2,,2
2019,Admin Management III,TRUE,46.75,46.75,1,3,4
2019,Admin Management IIIa,TRUE,39.56,46.75,10,9,19
2019,Admin Management IV,TRUE,43.04,48.78,5,2,7
2019,Admin Support I,TRUE,21.66,25.31,81,18,99
2019,Admin Support Ia,TRUE,22.48,27.45,129,24,153
2019,Admin Support II,TRUE,23.44,30.98,65,19,84
2019,Admin Support IIa,TRUE,28.55,28.55,,1,1
2019,Admin Support III,TRUE,25.31,32.25,153,20,173
2019,Admin Support IIIa,TRUE,26.36,30.98,2,,2
2019,Admin Support IV,TRUE,27.45,34.98,168,60,228
2019,Admin Support IVa,TRUE,28.55,34.98,19,3,22
2019,Admin Support Va,TRUE,30.98,36.45,15,6,21
2019,IT Ia,TRUE,30.98,36.45,3,12,15
2019,IT Ib,TRUE,33.6,39.56,2,1,3
2019,IT II,TRUE,43.04,43.04,1,,1
2019,Operational Support AI,TRUE,22.48,26.36,10,25,35
2019,Operational Support Ia,TRUE,24.36,28.55,14,99,113
2019,Operational Support II,TRUE,25.31,32.25,15,65,80
2019,Operational Support IIIa,TRUE,27.45,37.97,8,39,47
2019,Policy Management Ia,TRUE,44.83,57.7,46,38,84
2019,Program Delivery IV,TRUE,32.25,37.97,2,6,8
2019,Program Support II,TRUE,21.66,25.31,108,77,185
2019,Program Support III,TRUE,22.48,26.36,105,141,246
2019,Program Support VIa,TRUE,24.77,30.98,23,12,35
2019,Regulatory IV,TRUE,34.98,48.78,17,10,27
2019,Regulatory V,TRUE,37.97,44.83,23,35,58
2019,Regulatory VIII,TRUE,44.83,53.01,9,14,23
2019,Technical Assistant I,TRUE,25.81,37.97,26,28,54
2019,Assistant Master Mechanic Fire,TRUE,58.55,58.55,,1,1
2019,Captain Fire,TRUE,56.69,68.03,1,83,84
2019,Fire Prevention Captain,TRUE,68.03,71.43,,9,9
2019,Firefighter,TRUE,31.58,62.45,22,545,567
2019,Investigator,TRUE,52.04,52.04,,3,3
2019,Lead Mechanic,TRUE,53.67,53.67,,1,1
2019,Training Officer Fire,TRUE,71.43,71.43,,10,10
2019,Theatre Casual V,TRUE,32.87,42.13,,10,10
2019,Theatre Technician,TRUE,40.35,40.35,,2,2
2019,Electrical Apprentice,TRUE,17.49,28.42,1,4,5
